id,name,authors,category,created_at,description,edited_at,filename,language,length
82abd531-b15f-4949-bb84-d36d7c35f0af,Options,"{'Seth Wilson', 'Jocelyn Johnston'}",Finance,2024-05-22T04:14:54Z,Survey of options,2025-04-18T17:39:46Z,finance-options.mp4,EN,90
c19ea47b-11ca-424c-9350-7811c86d07be,DevOps outline,"{'Rachel Carlson', 'James Evans'}",IT,2024-08-29T08:51:04Z,Prelude to DevOps,2024-08-29T08:51:04Z,it-devops.mp4,EN,60
956e7474-ce54-446c-95fa-4100655a6a80,Orchestration via Kubernetes,"{'Lauren Green', 'David Walters'}",IT,2024-08-29T08:51:04Z,Overview of Kubernetes,2024-08-29T08:51:04Z,it-kubernetes.mp4,EN,90
3b854085-d26a-4f8c-90f5-36abbf1756c0,Bonds,"{'Julie Phillips', 'Frederick Bennett', 'Jennifer Mendoza'}",Finance,2024-07-19T14:01:18Z,Introduction to how enterprises manage bonds,2024-09-13T22:38:21Z,finance-bonds.mp4,EN,60
09b31ea3-2b5a-43c6-9f85-56713282ab4c,Load balancing via HAProxy,"{'Rachel Carlson', 'James Evans'}",IT,2025-04-29T09:58:38Z,Overview of HAProxy,2024-07-27T01:32:22Z,it-haproxy.mp4,EN,90
dca7cae0-6b13-423d-9f1e-2186733e5fc5,Stocks,"{'Seth Wilson', 'Jocelyn Johnston'}",Finance,2024-05-22T04:14:54Z,Overview of how firms handle stocks,2025-04-18T17:39:46Z,finance-stocks.mp4,EN,90
da9e90f4-85dd-4b2b-bd12-b66e9e414fb9,Cryptocurrencies,"{'Michelle Gates', 'Heidi Thomas', 'Norman Scott'}",Finance,2024-08-25T20:49:42Z,Theory of cryptocurrencies as well as primers,2024-08-16T13:08:25Z,finance-cryptocurrencies.mp4,EN,90
5225f308-a209-45be-9aab-2afc623f5a37,PR strategy,"{'Seth Wilson', 'Jocelyn Johnston'}",Marketing,2025-02-24T02:02:44Z,Introduction to PR,2024-11-01T01:00:47Z,marketing-pr-strategy.mp4,EN,60
c9f64deb-3546-4bf8-9721-85c2ccab41ae,IPOs,"{'Michelle Gates', 'Heidi Thomas', 'Norman Scott'}",Finance,2024-08-29T08:51:04Z,Rational behind IPOs,2024-07-19T12:05:43Z,finance-ipos.mp4,EN,90
49a2c2f6-6fce-4acb-b672-07cad09a2ade,Configuration management via Ansible,"{'Lauren Green', 'David Walters'}",IT,2024-06-09T12:59:57Z,Ansible theory besides instances of avail,2024-07-05T00:38:06Z,it-ansible.mp4,EN,90
